Author,Comment,Published At
@gospelhk10,00:00 start time 😂,2025-02-19T17:12:24Z
@PolinTogatorop,"In the midst of the onslaught of rap songs and electro music, this love song comes as a savior as a song that is easy to listen to and touches the soul.",2025-02-19T16:09:22Z
@ManishankarPokhariya,Universe in 3019,2025-02-19T15:01:38Z
@khanhTran-sb8ck,hay quá,2025-02-19T14:30:40Z
@MohdAdamHasan,"""I'll imagine wel fell in love I'll nap under moonlight skies with you""",2025-02-19T13:54:21Z
@Josh_yc,anyone in 2030?😂,2025-02-19T12:29:30Z
@Necblade-Gaming,Yessai 😂,2025-02-19T12:14:06Z
@Got_Red,Anyone in 2036,2025-02-19T11:47:50Z
@akhand_rao,1:56 Drop like or drop your balls,2025-02-19T08:12:01Z
@lizbethfranck4046,Listening to a love song when being with someone is like having them as the song,2025-02-19T06:59:40Z
@Mindxpukar,If you  are listening this song then you have better taste of music ❤❤❤,2025-02-19T04:38:16Z
@sakthi2807,Chisya,2025-02-19T03:28:02Z
@winniechiuchiu,This will be one of the most epic and classic love song in history,2025-02-19T00:27:49Z
@winniechiuchiu,Anyone in 2052,2025-02-19T00:22:03Z
@Haxsh77,I don't have any girlfriend but I can't stop listening this beautiful song❤❤,2025-02-18T22:48:06Z
@elbean3320,JULIAAA,2025-02-18T21:59:09Z
@albertlu8407,2025,2025-02-18T19:17:15Z
@borhanuddinkhan5880,Full Viral In Bangladesh 🇧🇩,2025-02-18T18:36:03Z
@Nassershalwani,I love this it’s just relaxing and about love 💗,2025-02-18T16:51:25Z
@siren._.m,Anyone 2027,2025-02-18T13:20:00Z
@LeTrong-nk4li,Nghe vs chill,2025-02-18T13:12:35Z
@Stella432-p4c,This song is present in every facebook story of my fb friends including me.,2025-02-18T12:06:45Z
@OriSabahan21,Anyone in 2030?😊,2025-02-18T12:01:19Z
@ArabellaBorres,Shes so prettyyy❤❤❤!!!,2025-02-18T11:49:45Z
@Centralceee_123,Anyone in 2090,2025-02-18T08:37:55Z
@KishanGaming_09,❤❤,2025-02-18T07:55:53Z
@imoh6883,2016 ?,2025-02-18T07:05:13Z
@leomessinews3694,i feel like live in cartoon,2025-02-18T06:57:36Z
@mothercat1839,Such a beautiful song 💕💕💕,2025-02-18T05:16:30Z
@Moldova-Ball,BC 380 anybody?,2025-02-18T00:16:44Z
@PlabonGharami,Frieren,2025-02-17T20:43:00Z
@asmawatiomri5716,No word can express how is it to be happy madly and sad in the same time,2025-02-17T19:23:13Z
@DEAD-IN-LIFE,Beautiful melody,2025-02-17T18:15:10Z
@NargisubaidullahKhan,Samajh m kuch nahi aata but feel bht kuch hota h 😍😍😍,2025-02-17T16:49:11Z
@azrialtomas2143,di tik tok dll lagi fyp ini sound🥲,2025-02-17T16:43:11Z
@edwardkylemelicado6026,I still in love with you Jelsie,2025-02-17T15:40:40Z
@thangbacninh7628,"I constantly listen to this song to move on in unofficial relationships. Sometimes, I hurt myself with unnecessary thoughts. Every little detail, care, and careless word of hers kills my mind every night.",2025-02-17T14:58:23Z
@SaddikSk-ot8mg,😊,2025-02-17T14:02:41Z
@itmambadruazzam1418,relax,2025-02-17T12:55:02Z
@Crazy_wall,@Yietsu ❤,2025-02-17T12:30:22Z
@lainesbrownie3395,Hi,2025-02-17T12:20:23Z
@lainesbrownie3395,Ofc😊,2025-02-17T12:19:58Z
@THEGILZZYDAWG,yung kai this is the best thank you for making this,2025-02-17T10:45:08Z
@THEGILZZYDAWG,Reminds me of an old song that everyone forgot about,2025-02-17T10:43:19Z
@THEGILZZYDAWG,"In this age of rap music and stuff,here this man made one of the best love song",2025-02-17T10:42:44Z
@Vision_itg,Anyone in 2045,2025-02-17T10:33:46Z
@qwertyuqwertyu3203,Nice but camera man😅,2025-02-17T10:21:56Z
@MsLilac,Wait... Julia?!,2025-02-17T09:56:14Z
@xorb100,"When you feel detached from everything and suddenly such songs pop up, then you are reminded of how lonely you are. 😂",2025-02-17T06:54:35Z
@Hearty0000,This song makes my heart flutter❤❤❤❤,2025-02-17T06:50:04Z
@LuLu-tp6uo,🍓🎀,2025-02-17T06:48:02Z
@iBxIGL,Anyone in 2030? Great music taste❤️,2025-02-17T06:07:21Z
@bahunvaigaming3598,Beautiful ❤,2025-02-17T04:35:41Z
@musicupdatemashup1831,"Here everyone thinking about that girl , who is never be part of yours life but live in your memory 😢😢😢",2025-02-17T03:24:34Z
@neosoul1985,This song really touches my heart.💙💙,2025-02-17T01:38:51Z
@Tatumthetattertot,"This man’s voice is just amazing I added this song to my Spotify yung kai great,amazing,beautiful song thank you for blessing my ears ❤❤❤",2025-02-16T18:09:33Z
@bunnydoliee,"omg , this is so soft and calm",2025-02-16T15:53:45Z
@KrrishAroraa,Love it❤,2025-02-16T15:17:03Z
@Kishanmenon,"Makes me feel like I’m in a huge dessert walking towards a very meaningful purpose after having fought a really hard battle, I’ve hardened as a person , and now the dessert winds and climate just can’t fuck with me, and an eagle flies straight through the sun",2025-02-16T14:18:30Z
@desconhecida2007,anyone in 2025?,2025-02-16T14:14:13Z
@i_pikachu2,Anyone in 2030 🎉,2025-02-16T13:58:25Z
@jetro4,อุอิอาาา อุอิอาาา อุอิ,2025-02-16T12:56:26Z
@dunnodon1846,what camera did u film this with?,2025-02-16T11:41:34Z
@HaSandi-tn8li,krisna😂,2025-02-16T11:31:32Z
@名誉者honored,Anybody in 100395,2025-02-16T10:49:37Z
@potofseed,She looks like Athena from FiftyFifty,2025-02-16T10:48:57Z
@polyptyca7453,"Always a song that remembers me i'll be forever alone, but my job will be to make other's life happy... and i'm okay with that",2025-02-16T10:19:39Z
@Joshan-o3o,"If this  
Comment get 1k like i propose my crush",2025-02-16T08:59:41Z
@adamzaqwan126,Izao masak masakkkkk🔥,2025-02-16T06:07:59Z
@Nashvin_17,Bro reached in 2026 and i am still in 2025 😂❤❤,2025-02-16T00:12:07Z
@Capuroku,Muak,2025-02-15T23:55:52Z
@YailinWees996,Nlf,2025-02-15T23:36:55Z
@InstagramUSer-n9f,"00:17 - Describing the enchanting beauty and connection in a relationship.
00:43 - Expresses desire for intimacy and connection in the moment.
01:00 - The speaker expresses deep emotional connection and intimacy.
01:12 - Exploring a deep connection and longing for permanence in a relationship.
02:01 - Reassurance and unwavering love are emphasized.
02:12 - The speaker expresses hope and trust in lasting love.
02:30 - Exploring deep emotional connections and shared memories.
03:00 - The song expresses a deep desire for everlasting companionship.",2025-02-15T21:34:00Z
@MM-1820,She is beautiful but i have no money(please don't steal my heart).,2025-02-15T20:49:22Z
@derinnini,wow çok hoş şarkı (⁠ ⁠◜⁠‿⁠◝⁠ ⁠)⁠♡,2025-02-15T20:39:47Z
@mplance3151,This song is just beautiful,2025-02-15T20:14:50Z
@rogan8289,"Idk, I don't like this song. I can feel the love in this song which is not for me. They did a wonderful job.",2025-02-15T19:29:25Z
@Luzztrin,melhor musica de todas,2025-02-15T19:07:38Z
@Akatsuki3154,U i i a a i A,2025-02-15T16:41:59Z
@Zoro7-e7r,She kinda looks like my crush… she’s damn so perfect!!,2025-02-15T16:38:14Z
@orekisday,a clip. nice,2025-02-15T16:13:00Z
@maddogs474,This song makes us feel inlove.,2025-02-15T15:59:09Z
@yourlittlebrother9798,Anyone listening in 2070?,2025-02-15T15:23:59Z
@KiSH9891,Salt Bae on my broken heart 🤧,2025-02-15T14:44:17Z
@sharlahs.r.b,"Cat protection came today to take my best fury friend my cat Jake
I played this song 🎵 as he left me forever. I love him sooo much can't wait to greet with him soon, he is the first thing I want to see when I open my eyes in heavan",2025-02-15T12:56:18Z
@สมเกียรติแซย้าง,เจอต้นฉบับละ 😂😂😂,2025-02-15T11:17:32Z
@Hyper_or_wot45,With what camera it was shoot??,2025-02-15T10:19:14Z
@Miraaaaa2,I love seeing people in happy relationships while me being single all my life no lie Im not being sarcastic,2025-02-15T07:05:44Z
@Mayakimgyuvinzb1,Anyone February 2025 and From Indonesian?,2025-02-15T05:43:16Z
@Moastayengenecaratneverland,The fact that this song is based o n WIFTY and even the scenes resemble the drama❤,2025-02-15T05:34:45Z
@Imannie005,Julianaa,2025-02-15T05:16:50Z
@Rahimi-z3t,Me,2025-02-15T04:33:43Z
@dinnhaoo,cantik bgttt sempakk,2025-02-15T04:18:23Z
@Maeibanez-y4p,"Your so talented you get this
.
　⠀🌸🌷🌸🌷🌸🌷🌸
　　　 🌸🌷🌸🌷🌸
　　　Λ🌷🌸🌷🌸🌷
　　 ( ˘ ᵕ ˘🌷🌸🌷
　　　ヽ つ＼　 ／
　　　 UU　/ 🎀 \
𝐻𝒶𝓅𝓅𝓎 𝒱𝒶𝓁𝑒𝓃𝓉𝒾𝓃𝑒'𝓈 𝒟𝒶𝓎 💝
@FacemojiKeyboard",2025-02-15T04:02:16Z
@malsawmdawngliana4991,I'll leave my heart❤,2025-02-15T03:48:46Z
@farrelf1638,pwnyakit blu yung gila,2025-02-15T03:27:57Z
@Abiishek,Me dreaming right before my alarm be like 😂,2025-02-15T03:12:09Z
@SawTMusic-808,"such beautiful music, im so grateful",2025-02-15T02:55:49Z
@SkuStyle,THIS IS SHIT!,2025-02-15T02:01:11Z
@SigitSantoso-y3x,Niki lagu nopo mas?,2025-02-15T01:10:15Z
@AprilAnneRoseAlogon,"I cant help but cry bc this song is so sad no wonder why it is called ""blue""",2025-02-15T00:40:52Z
@chiayang2857,I am,2025-02-14T22:07:28Z
@chiayang2857,THE Best!!!!❤❤❤❤,2025-02-14T22:05:20Z
@giandaripelaezmendez,"wao he song the most beautiful song in the world 
hola gente hispano hablante como estan vengob de los videos de camion kun 
xd the music is hopeful but i cry alone",2025-02-14T21:06:43Z
@TakiMitsuha2016,This type of genre will be the new trend in coming yrs🎉🎉,2025-02-14T19:31:35Z
@Gogou_kipgen_Official,If this comment got 500 like i will propose my crush ❤😢,2025-02-14T17:27:37Z
@Urdadismine,My turn iceylyt if this comment gets 2k likes ill ask my crush our,2025-02-14T16:05:51Z
@Pri1soni,Remembering my bestfriend... happy married life sanga❤,2025-02-14T13:16:56Z
@Aurora.Bia1,This is the special song for my crush 💗,2025-02-14T13:03:06Z
@KarmaWithAnL,Yang kai after martial peak:,2025-02-14T12:37:11Z
@AwakenAuraa,when is green coming out,2025-02-14T12:22:06Z
@TawsifMaruf-up9nb,✨🤍,2025-02-14T12:15:46Z
@GintaFP,IG nya Mbaknya? Perpaduan Shani x Minji 😭,2025-02-14T10:39:43Z
@musicproject6253,U i a u i a..,2025-02-14T10:26:02Z
@HoangHuyLe-f8y,"The vibe is beautiful , something so sweet and beautiful about the lyrics and melodies really gives me a peaceful moment",2025-02-14T09:48:49Z
@inhhinhnguyen4071,Nghe nhu lon,2025-02-14T09:29:03Z
@SuperBandit008,kaya lagu yang fyp di tiktok,2025-02-14T07:41:57Z
@SapnA-y2n3u,Miss you everyday my love this song warm 🤗🫂❤ my love,2025-02-14T07:38:33Z
@OCT12_Lads,I miss you so much Millie ❤️,2025-02-14T05:30:13Z
@chamithc,"I can listen this song for 10 hrs straight, but video give me heache within 10 seconds ehh",2025-02-14T05:29:51Z
@Choscon94,Oh my heart😢,2025-02-14T05:17:05Z
@dipendrakumar6562,Woeeeeeeeeeeepppppppppppp😮😮😮😮😮❤❤,2025-02-14T03:34:59Z
@Sir_RølexYT,Smooth ❤,2025-02-13T23:35:07Z
@snehasaini5206,This song is the definition of warm hug🤗 🫶,2025-02-13T18:01:34Z
@animeloverotaku8685,I thought it was japanese+english but now i see it is fully in english,2025-02-13T16:18:52Z
@YourBacolodTourGuide,I miss the days when we were young and super in love...,2025-02-13T15:53:45Z
@hanuyle8362,U i a cat,2025-02-13T15:10:49Z
@anil3695,She is soooo lucky😢❤❤❤❤😊😊😊❤😢😢❤,2025-02-13T15:02:44Z
